PG,SG,SF,PF,C,G,F,UTIL,Unnamed: 8,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,Saber Score
42180456,42180540,42180485,42180465,42180588,42180535,42180528,42180493,,240.5,225.46875,241.21875,256.96875,265.25625,280.98125,299.96875,203.0,49600,1,0,102.63041744154718,97.91173209143244,100.26409490322342,95.55936927964146,171.70512346299466,100.24874416989331,97.89638135810236,97.89638135810236,85.99278741048926,-5.176124721765518
42180459,42180520,42180485,42180531,42180599,42180456,42180498,42180577,,251.00000000000003,235.05499267578125,251.61749267578125,269.11749267578125,278.9049926757813,297.12999267578124,309.12999267578124,243.0,49900,1,0,106.79756142816882,101.15479550099194,103.99729284392316,98.31229815806074,174.060835337966,103.7267904597285,100.8842931167973,100.8842931167973,88.07356702088754,168.78716945648193
42180540,42180547,42180583,42180555,42180454,42180459,42180462,42180588,,239.1,223.0,239.5,255.75,263.25,279.7875,303.0025,185.0,49900,1,0,102.18929024547164,97.87505612927366,100.04091998141854,95.7091922771288,171.6333239239867,100.16122892720148,97.9953650750566,97.9953650750566,86.33386976937717,34.21289026737213
42180520,42180498,42180485,42180462,42180577,42180472,42180507,42180493,,246.3,229.25,247.5,263.75,273.0375,289.2625,306.0075,244.0,49700,1,0,104.70436616548656,98.97201131846872,101.83165551753632,96.11236711940116,172.53329301568536,101.72765925423646,98.86801505516888,98.86801505516888,86.22679817937373,103.830087184906
42180594,42180551,42180528,42180465,42180526,42180468,42180555,42180454,,240.32,223.6959991455078,240.9459991455078,256.44598388671875,264.1959884643555,280.44598388671875,299.94848388671875,210.86,50000,1,0,102.43827718839124,97.5738312528358,100.00899439444385,95.13866811122772,171.48233455872193,100.0110203527302,97.57585721112216,97.57585721112216,85.59661146427186,16.162101924419403
42180459,42180551,42180544,42180485,42180599,42180456,42180507,42180517,,250.30000000000004,235.03500366210935,250.78500366210935,268.5975036621094,277.0350036621094,294.04750366210936,313.05000366210936,259.0,50000,1,0,106.29348848375786,100.29512457022444,103.29693205212055,97.29331708832832,173.5198163308861,103.25354943816764,100.25174195627152,100.25174195627152,87.30950556254061,133.48593711853027
42180476,42180468,42180528,42180531,42180493,42180520,42180498,42180465,,243.5,226.96800231933597,242.65550231933597,260.280517578125,270.530517578125,288.793017578125,310.803017578125,240.0,49900,1,0,103.52738492957926,97.91777541808352,100.75290017760736,95.08265065855966,171.69273697817232,100.81563768056137,97.9805129210375,97.9805129210375,85.47501484936114,66.45050644874573
42180601,42180540,42180485,42180507,42180493,42180476,42180544,42180454,,246.0,231.0902404785156,246.9027404785156,262.9027404785156,271.19024047851565,287.1527404785156,300.9052404785156,236.0,49900,1,0,104.68884564914404,99.29058816809942,101.9806578263726,96.60051850982624,172.7771283562098,101.78707862989344,99.09700897162026,99.09700897162026,86.63728085425255,88.85158896446228
42180456,42180498,42180567,42180531,42180577,42180517,42180507,42180459,,245.7,230.875,245.5,263.0625,272.2875,285.025,308.775,218.0,49900,1,0,104.74967000281876,99.52220915045244,102.07148783883672,96.97293046206816,172.96339655492324,102.19720968281572,99.64793099443143,99.64793099443143,87.34090806458565,63.91608715057373
42180472,42180517,42180563,42180462,42180588,42180459,42180485,42180511,,232.9,218.1499938964844,233.3374938964844,250.2749938964844,259.2499938964844,272.7124938964844,293.4674938964844,158.0,49800,1,0,99.89000123834424,96.09205870528768,97.95212732546892,94.23199008510642,170.27509707258426,98.01044480856254,96.15037618838129,96.15037618838129,85.04090327908169,-9.930936247110369
